index,GGBsuicide
1,30.604166666666686
2,37.47916666666663
3,2.6666666666666856
4,9.083333333333343
5,4.0
6,5.395833333333314
7,34.854166666666686
8,19.666666666666657
9,26.354166666666657
10,43.750000000000014
11,7.416666666666657
12,9.666666666666671
13,54.083333333333336
14,28.1875
15,22.604166666666664
16,1.125
17,30.145833333333336
18,14.25
19,98.3125
20,18.145833333333314
21,7.083333333333343
22,45.125
23,11.166666666666657
24,10.958333333333343
25,42.75
26,40.354166666666686
27,15.395833333333314
28,130.66666666666669
29,3.0833333333333144
30,27.520833333333314
31,58.583333333333314
32,3.4583333333333712
33,32.27083333333337
34,18.3125
35,21.0
36,8.895833333333258
37,31.9375
38,42.72916666666674
39,19.395833333333258
40,7.75
41,18.52083333333337
42,11.166666666666629
43,40.39583333333337
44,11.520833333333371
45,3.6666666666666288
46,6.208333333333371
47,9.041666666666629
48,28.3125
49,5.291666666666629
50,26.14583333333337
51,1.9583333333333712
52,11.770833333333258
53,30.229166666666742
54,58.58333333333326
55,8.375
56,6.166666666666629
57,53.54166666666674
58,21.604166666666742
59,7.9583333333332575
60,42.1875
61,12.520833333333258
62,0.16666666666674246
63,25.854166666666742
64,10.458333333333258
65,7.0
66,60.125
67,17.145833333333258
68,1.1666666666667425
69,13.125
70,1.5833333333332575
71,5.083333333333485
72,11.729166666666515
73,3.833333333333485
74,49.1875
75,8.395833333333258
76,49.02083333333326
77,17.1875
78,38.35416666666674
79,25.645833333333258
80,20.145833333333485
81,14.333333333333258
82,17.3125
83,2.125
84,32.4375
85,16.791666666666742
86,8.604166666666515
87,3.958333333333485
88,0.8333333333332575
89,66.16666666666674
90,16.479166666666515
91,17.875
92,26.1875
93,12.458333333333485
94,27.979166666666515
95,15.520833333333485
96,35.39583333333326
97,12.833333333333258
98,28.645833333333485
99,4.5625
100,5.0833333333332575
101,11.333333333333258
102,4.5416666666667425
103,5.9166666666667425
104,33.604166666666515
105,13.520833333333485
106,9.5
107,12.854166666666515
108,13.125
109,4.75
110,77.14583333333326
111,35.895833333333485
112,13.833333333333485
113,12.479166666666515
114,2.833333333333485
115,9.875
116,1.291666666666515
117,34.1875
118,7.3125
119,68.08333333333348
120,1.9583333333330302
121,17.47916666666697
122,9.25
123,2.541666666666515
124,8.208333333333485
125,1.875
126,19.27083333333303
127,32.97916666666697
128,11.791666666666515
129,4.354166666666515
130,12.875
131,16.375
132,7.1875
133,10.083333333333485
134,7.125
135,0.9166666666665151
136,27.35416666666697
137,6.125
138,3.104166666666515
139,45.604166666666515
140,5.04166666666697
141,48.625
142,1.2083333333330302
143,2.04166666666697
144,7.83333333333303
145,2.208333333333485
146,0.6666666666665151
147,8.770833333333485
148,6.125
149,25.979166666666515
150,11.16666666666697
151,2.125
152,8.95833333333303
153,1.958333333333485
154,7.4375
155,0.0
156,2.125
157,2.75
158,4.25
159,15.125
160,6.354166666666515
161,5.0
162,33.1875
163,7.125
164,19.520833333333485
165,8.0
166,9.041666666666515
167,14.3125
168,12.79166666666697
169,4.375
170,11.14583333333303
171,0.3333333333334849
172,13.75
173,18.395833333333485
174,15.875
175,1.541666666666515
176,4.9375
177,1.25
178,30.354166666666515
179,8.79166666666697
180,7.125
181,1.25
182,25.9375
183,59.291666666666515
184,35.3125
185,28.270833333333485
186,39.604166666666515
187,13.354166666666515
188,10.29166666666697
189,5.0
190,1.666666666666515
191,37.25
192,11.833333333333485
193,25.14583333333303
194,8.16666666666697
195,10.375
196,7.0625
197,18.20833333333303
198,23.47916666666697
199,8.75
200,2.125
201,6.5625
202,13.70833333333303
203,15.0
204,26.60416666666697
205,28.3125
206,19.5625
207,19.27083333333303
208,35.4375
209,5.208333333333485
210,22.479166666666515
211,49.35416666666697
212,12.64583333333303
213,7.583333333333485
214,6.25
215,13.0625
216,0.125
217,9.208333333333485
218,5.83333333333303
219,0.04166666666696983
220,40.604166666666515
221,3.75
222,14.520833333333485
223,34.604166666666515
